keyword,frequency,type
intelligence,86,keyword
chatgpt,66,keyword
students,65,keyword
such,65,keyword
artificial,60,keyword
knowledge,60,keyword
technology,57,keyword
creativity,56,keyword
challenges,52,keyword
management,52,keyword
learning,48,keyword
data,44,keyword
potential,44,keyword
tools,42,keyword
business,40,keyword
education,39,keyword
human,37,keyword
work,37,keyword
collective,36,keyword
generative,35,keyword
literature,35,keyword
academic,35,keyword
development,34,keyword
thinking,34,keyword
both,34,keyword
tasks,33,keyword
science,33,keyword
innovation,32,keyword
scientific,31,keyword
language,30,keyword
artificial intelligence,55,bigram
growth mindset,19,bigram
collective intelligence,19,bigram
google scholar,18,bigram
scopus google,17,bigram
pubmed scopus,16,bigram
generative artificial,15,bigram
business management,15,bigram
higher education,14,bigram
industrial revolution,13,bigram
language models,9,bigram
academic integrity,9,bigram
digital transformation,8,bigram
critical thinking,8,bigram
large language,7,bigram
fourth industrial,7,bigram
autonomous agents,7,bigram
such chatgpt,7,bigram
relational knowledge,7,bigram
associative thinking,7,bigram
systematic literature,6,bigram
language model,6,bigram
natural language,6,bigram
management scholars,6,bigram
fostering growth,6,bigram
full text,6,bigram
group members,6,bigram
ai-generated content,6,bigram
collective creativity,5,bigram
human capital,5,bigram
